Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Web Load Balancer and App Load Balancer,Application Load Balancer,0,79.57,954.84,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Web Servers and App Servers,Amazon EC2,0,9837.76,118053.12,USD,"Operating system (Linux), Quantity (40), Pricing strategy (On-Demand Instances 1 Year All Upfront), Storage amount (30 GB), Instance type (t3.2xlarge)"
My Estimate,US East (N. Virginia),,S3 Standard,0,42.52,510.24,USD,S3 Standard storage (1 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,"DT Inbound: Internet (1 TB per month), DT Outbound: Amazon CloudFront (1 TB per month)"
My Estimate,US East (N. Virginia),,Amazon Aurora MySQL-Compatible,0,8674.5,104094,USD,"Change records per statement (0.38), Nodes (8), Instance Type (db.r5.2xlarge), Instance Family (Memory optimized), Pricing Model (OnDemand), Additional backup storage (500 GB), Storage amount (500 GB)"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
Rationale,,,,,,,,
"With the increased budget, I've increased the amount of DB nodes in the cluster to 8 nodes and increased the DB Instance Type from db.r5.xlarge to db.r5.2xlarge. ",,,,,,,,
"The increased number of nodes will consist of (1 Master DB, 2 Write Slaves, 5 Read Replicas). Additionally, the instance types of the web servers and app servers",,,,,,,,
"have been increased back to t3.2xlarge and the number of instances set to 40 (20 web servers, 20 app servers).",,,,,,,,